id,text,label_M_1,label_M_2,label_M_3,label_M_4,label_M_5,label_M_6,label_M_7,label_M_8,label_F_9,label_F_10,label_F_11,label_M_12,label_M_13,label_F_14,label_F_15,label_F_16,label_F_17,label_F_18,label_F_19,label_F_20
77,[USER] bitch i dont even look like that keep talking and we going to fight,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful
175,Good morning coons.,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful
91,[USER]: Happy birthday freshman faggots [USER] [USER],Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful
199,"[USER] These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies.",Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful
45,"Gotta love rednecks. Loud, stupid, stubborn, and full o schitt.",Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful
179,[USER] You are an ignorant cunt.,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Hateful,Hateful
52,"""poor whitey"" [URL]",Hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful
16,Nah nicca.. you GOT GAS! 😝😂😂😂 [USER]: [USER] 😂😂😂 blowing gas 😤,Non-hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful
14,[USER]: [USER] man some lame niggah when I find him I'm unfollowing TF out his ass!,Hateful,Non-hateful,Non-hateful,Hateful,Hateful,Non-hateful,Non-hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Non-hateful
148,[USER]: Hank Baskett cheated with a tranny and just got a shoutout!,Hateful,Hateful,Non-hateful,Hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful,Hateful,Hateful,Hateful,Non-hateful,Hateful,Non-hateful
